id,url,name,sku,price,currency,primary_category,reviewer_name,review_title,description,rating,published_at,scraped_at
547476480,https://www.walmart.com/ip/TCL-28D2700-Stand-Legs-W-Screws-USED-68-32D27R-000-68-32D27L-000/547476480,TCL 28D2700 Stand Legs W/Screws - USED(68-32D27R-000 68-32D27L-000),547476480,19.95,USD,Electronics,Eric,,The legs wasn't the right ones for my tv but i made them work.,3,2022-08-17 00:00:00,2023-07-14 15:34:18
547476480,https://www.walmart.com/ip/TCL-28D2700-Stand-Legs-W-Screws-USED-68-32D27R-000-68-32D27L-000/547476480,TCL 28D2700 Stand Legs W/Screws - USED(68-32D27R-000 68-32D27L-000),547476480,19.95,USD,Electronics,Selina,,This doesn't fit my tv that i ordered it to fit so this is useless to me,1,2022-07-10 00:00:00,2023-07-14 15:34:18
547476480,https://www.walmart.com/ip/TCL-28D2700-Stand-Legs-W-Screws-USED-68-32D27R-000-68-32D27L-000/547476480,TCL 28D2700 Stand Legs W/Screws - USED(68-32D27R-000 68-32D27L-000),547476480,19.95,USD,Electronics,Susan,,,5,2023-05-18 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,coyote75,my  i pad,i love  it  .  i already  have  an  i pod  and  i phone  so  it made  it  easier  to  work   for  me,5,2016-10-13 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,MGutierrez,"Good iPad for Age, Great Price, Bad Charger","I ordered two iPads for my sons to play with. These are much older iPads, so be mindful of that. I received 2 beautifully working older devices at an excellent price. A lot of popular apps don’t work on these any more, so you can’t expect to do the same you do on an older device. These really are only really good as a tablet for a very young child to use, or to use for reading, browsing the Internet or listening to music only. A lot of the other functionalities will malfunction. The only complaint I have is that the charger it was sent with burnt out within a day, so I’m going to have to buy another.",5,2021-07-22 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,Tricia,Wow refurbished aint that bad at all,1 day so far very good i feel like i got a great deal,5,2020-08-04 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,Sharilinn,Refurbished Ipad 2,Have always been skeptical about refurbished but for the price I thought I would try it. Very happy with this purchase. Out of the box it's just like the brand new one I got 5 years ago. Works just like my old one. Happy with this refurbished purchase and such a great price.,5,2016-11-29 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,Christina,Excellent Buy!,"I was skeptical about this purchase because of the low price, but it really works like new. It had some minor scratches on the back, but we will be buying a case. This was a great buy. I was able to connect my son's icloud information and start using it right away. I would both recommend and buy again from this seller.",5,2020-04-29 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,Bridgett,Broken no response,It came broken I’ve waited three weeks and no response from Walmart other than the original we’re going to message the third-party person and they’re going to get a hold of you and that never happened,1,2021-08-17 00:00:00,2023-07-14 15:34:18
151102224,https://www.walmart.com/ip/Restored-Apple-iPad-2-16GB-9-7-Touchscreen-Wi-Fi-Tablet-Black-MC769LLA-Refurbished/151102224,"Restored Apple iPad 2 16GB 9.7"" Touchscreen Wi-Fi Tablet - Black - MC769LLA (Refurbished)",151102224,52.99,USD,Electronics,MARY,useless device,"This device is so outdated. It's a dinosaur. I honestly thought I would AT BARE MINIMUM, be able to search the web, but this device is horrible. There are no compatible browsers, and can not even sign in to itunes. The only positive was that bejeweled was able to be loaded. I bought this for my dad who had cancer. Unfortunately he lived only a few weeks, so the ipad wasnt used at all and I'm not even mad about it. I bought two of them for us but he was too sick at that point to use it anyway. They are really worthless though and just collecting dust at this point. Both were in pristine shape with no cosmetic defects, so it was a bummer that they can't be utilized for anything.",1,2023-05-10 00:00:00,2023-07-14 15:34:18
